Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
8146bF,0.74,0.55,0.74,1.25,0.85,#DIV/0!,0.63,0.84,0.88,0.83,0.133192309,b,F,,Patella,ferruginea,shell 
8147bF,0.77,0.56,0.82,1.21,0.77,#DIV/0!,0.55,0.90,0.80,0.75,0.174914703,b,F,,Patella,ulyssiponensis,shell 
8148bF,0.71,0.56,0.79,1.80,0.78,#DIV/0!,0.57,0.86,0.84,0.71,0.172245762,b,F,,Patella,ulyssiponensis,shell 
8149bF,0.75,0.59,0.78,1.40,0.84,#DIV/0!,0.50,0.89,0.86,0.55,0.164474777,b,F,,Patella,ulyssiponensis,shell 
8150bF,0.76,0.60,0.71,1.36,0.86,0.00,0.50,0.93,0.84,0.57,0.193642641,b,F,,Patella,ulyssiponensis,shell 
8151bF,0.70,0.53,0.79,1.18,0.79,#DIV/0!,0.63,0.39,0.00,0.88,0.173763467,b,F,,Patella,vulgata,shell 
8152bF,0.71,0.52,0.80,1.22,0.78,#DIV/0!,0.60,0.86,0.87,0.78,0.171805977,b,F,,Patella,vulgata,shell 
8153bF,0.77,0.87,0.36,1.55,0.91,0.00,0.86,0.94,1.07,1.06,0.044759586,b,F,,Patella,ferruginea,shell 
8154bF,0.78,0.86,0.00,1.68,0.91,0.00,0.89,0.93,1.09,1.07,0.03527685,b,F,,Patella,ferruginea,shell 
8155bF,0.75,0.60,0.77,1.22,0.84,#DIV/0!,0.60,0.93,0.89,0.80,0.135095011,b,F,,Patella,ferruginea,shell 
8156bF,0.79,0.60,0.80,1.17,0.84,#DIV/0!,0.58,0.91,0.86,0.79,0.124322447,b,F,,Patella,ferruginea,shell 
8157bF,0.73,0.55,0.83,1.42,0.80,#DIV/0!,0.52,0.84,0.82,0.62,0.207379651,b,F,,Patella,vulgata,shell 
8158bF,0.73,0.54,0.80,1.40,0.80,0.00,0.54,0.85,0.80,0.62,0.20407617,b,F,,Patella,vulgata,shell 
8159bF,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,b,F,,Patella,ulyssiponensis,shell 
8146bH*,0.53,0.32,0.48,0.68,0.53,0.00,0.30,0.49,0.44,0.33,0.209995434,b,H,*,Patella,ferruginea,shell 
8148bH*,0.55,0.27,0.37,1.37,0.42,#DIV/0!,0.20,0.00,0.33,0.24,0.276949006,b,H,*,Patella,ulyssiponensis,shell 
8149bH*,0.53,0.33,0.49,0.73,0.59,0.00,0.30,0.53,0.50,0.31,0.270183655,b,H,*,Patella,ulyssiponensis,shell 
8154bH*,0.59,0.46,0.23,0.98,0.62,#DIV/0!,0.33,0.58,0.44,0.39,0.096131292,b,H,*,Patella,ferruginea,shell 
8155bH*,0.58,0.33,0.44,0.89,0.54,0.00,0.26,0.49,0.38,0.32,0.193436183,b,H,*,Patella,ferruginea,shell 
8156bH*,0.56,0.32,0.40,0.84,0.53,0.00,0.26,0.46,0.36,0.30,0.213157347,b,H,*,Patella,ferruginea,shell 
8157bH*,0.52,0.26,0.39,0.80,0.43,0.00,0.24,0.44,0.31,0.25,0.346928821,b,H,*,Patella,vulgata,shell 
8158bH*,0.52,0.27,0.45,0.63,0.49,0.00,0.25,0.51,0.38,0.28,0.343156999,b,H,*,Patella,vulgata,shell 
8159bH*,0.13,0.06,0.18,0.27,0.05,0.00,0.00,0.00,0.00,0.00,0.949896158,b,H,*,Patella,ulyssiponensis,shell 
8187bF,0.74,0.55,0.75,1.41,0.82,0.27,0.44,0.84,0.79,0.50,0.286211674,b,F,,Patella,vulgata,shell 
8188bF,0.74,0.52,0.80,1.30,0.82,#DIV/0!,0.45,0.84,0.77,0.52,0.248341448,b,F,,Patella,vulgata,shell 
8189bF,0.67,0.42,0.78,1.25,0.78,#VALUE!,0.57,0.77,0.84,0.70,0.319047461,b,F,,Patella,vulgata,shell 
8190bF,0.67,0.42,0.91,1.17,0.77,#DIV/0!,0.55,0.88,0.79,0.70,0.282042427,b,F,,Patella,vulgata,shell 
8191bF,0.75,0.57,0.87,1.24,0.84,0.69,1.54,1.45,1.14,2.48,0.214666882,b,F,,Patella,vulgata,shell 
8192bF,0.75,0.57,0.83,1.38,0.84,0.59,0.46,0.85,0.80,0.54,0.210038835,b,F,,Patella,vulgata,shell 
8193bF,0.74,0.59,0.39,1.25,0.82,0.35,0.47,0.68,0.78,0.44,0.311872486,b,F,,Patella,vulgata,shell 
8185bH*,0.56,0.25,0.27,0.49,0.53,#DIV/0!,0.24,0.40,0.34,0.26,0.452645816,b,H,*,Patella,vulgata,shell 
8186bH*,0.56,0.26,0.39,0.48,0.56,#DIV/0!,0.25,0.44,0.37,0.27,0.354998365,b,H,*,Patella,vulgata,shell 
8187bH*,0.59,0.36,0.57,0.69,0.61,0.00,0.26,0.51,0.46,0.30,0.381803378,b,H,*,Patella,vulgata,shell 
8188bH*,0.59,0.32,0.45,0.67,0.62,#DIV/0!,0.25,0.52,0.45,0.29,0.316656963,b,H,*,Patella,vulgata,shell 
8189bH*,0.50,0.23,0.30,0.48,0.48,#DIV/0!,0.23,0.36,0.33,0.27,0.5126836,b,H,*,Patella,vulgata,shell 
8190bH*,0.51,0.24,0.38,0.50,0.45,#DIV/0!,0.24,0.42,0.34,0.27,0.451734272,b,H,*,Patella,vulgata,shell 
8191bH*,0.61,0.33,0.49,0.69,0.63,#DIV/0!,0.26,0.55,0.50,0.33,0.275045514,b,H,*,Patella,vulgata,shell 
